Fraction_Size	Depth	Lakes_names	Assembly	 contigs (>= 0 bp)	 contigs (>= 1000 bp)	 contigs (>= 5000 bp)	 contigs (>= 10000 bp)	 contigs (>= 25000 bp)	 contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	 contigs	Largest contig	Total length	N50	N90	auN	L50	L90	 N's per 100 kbp
S	M	SANA	SANAM-SM-01aug21.megahit.nv.contigs	934671	155727	17213	7193	2301	943	930927679	543590191	293518016	224764777	151309896	104231923	468427	625233	755427374	2476	623	27691.1	42042	332746	0.00
S	M	SANA	SANAM-SM-14apr22.megahit.nv.contigs	651220	106725	11041	5276	2487	1304	717311025	442361003	268112713	228996330	185860084	143827892	339570	625239	600117545	3346	632	43997.0	18982	232796	0.00
			
L	E	SLAP	SLAPE-LM-11aug20.megahit.nv.contigs	2635428	396864	35895	12440	2732	748	2137567880	1083336378	431314656	271284899	128455409	61747999	1194802	436865	1626725755	1663	605	8613.9	182005	898570	0.00
L	E	SLAP	SLAPE-LM-19may20.megahit.nv.contigs	3865652	369989	11524	2845	622	207	2375808834	722208246	122949012	66171706	33949628	20103417	1646369	445865	1571674315	925	552	3817.7	436222	1346885	0.00
S	E	SLAP	SLAPE-SM-11aug20.megahit.nv.contigs	3470969	494286	36056	11540	2514	625	2553776229	1236602606	413835149	248205083	115583256	51523183	1401265	325220	1858549592	1563	610	6922.9	244261	1064125	0.00
S	E	SLAP	SLAPE-SM-19may20.megahit.nv.contigs	3871212	443339	26524	8399	1614	374	2538156211	1003947175	290700785	168090511	69116643	27556511	1539445	249168	1743655504	1189	575	4680.5	321753	1213954	0.00
L	H	SLAP	SLAPH-LM-11aug20.megahit.nv.contigs	2728297	435067	33673	11621	2891	835	2246099430	1134993692	418899189	269328273	139657719	69812651	1311707	764520	1733987600	1547	605	8870.9	215548	995942	0.00
L	H	SLAP	SLAPH-LM-19may20.megahit.nv.contigs	2324931	346951	23703	6722	1423	448	1799353268	855397141	269992806	156539658	79832214	47021319	1090841	491370	1359433468	1428	592	8669.4	198054	840578	0.00
S	H	SLAP	SLAPH-SM-11aug20.megahit.nv.contigs	3886785	534766	42718	14197	3144	969	2895633640	1398403890	517047478	323335932	160823229	87277466	1582658	902720	2113717297	1584	606	9433.7	257861	1197888	0.00
S	H	SLAP	SLAPH-SM-19may20.megahit.nv.contigs	4147594	539175	48125	16711	4178	1362	3083124709	1507468947	616892314	403446391	218184911	122673181	1617148	514452	2236334908	1729	600	11386.7	234878	1208131	0.00
			
S	E	SMAU	SMAUE-SM-14sep21.megahit.nv.contigs	1331147	244706	28918	12251	3839	1346	1367190831	852174296	450969764	336773367	209310769	123420579	642592	545065	1123571622	2874	650	20197.0	58860	445149	0.00
S	H	SMAU	SMAUH-SM-14sep21.megahit.nv.contigs	1179808	234845	31747	13388	3961	1254	1309071366	854898740	469795738	343662417	201572733	108528182	591373	527775	1098201818	3375	666	18006.9	51256	400590	0.00
			
L	E	STEC	STECE-LM-13jul20.megahit.nv.contigs	1432480	97357	2655	765	101	13	807155930	167466862	25975529	13242978	3582977	836775	590345	100821	495212961	792	543	1734.8	188330	495223	0.00
S	E	STEC	STECE-SM-13jul20.megahit.nv.contigs	3227152	420088	34805	10288	1689	317	2275970427	1063524717	361509059	195084232	71174861	25548951	1212380	396305	1604669489	1583	606	5782.2	208619	920211	0.00
S	E	STEC	STECE-SM-24apr22.megahit.nv.contigs	3504583	447682	24923	6223	850	141	2398602022	973780093	234381341	109415002	33576188	9977173	1526104	189660	1700510218	1182	573	3355.7	333680	1207914	0.00
L	H	STEC	STECH-LM-13jul20.megahit.nv.contigs	3212044	398379	24668	8737	2139	520	2254799047	950577708	305788455	198293064	99764269	44946477	1359206	460031	1604549018	1253	585	6976.0	265019	1062279	0.00
S	H	STEC	STECH-SM-13jul20.megahit.nv.contigs	3754322	440303	36065	12143	2732	694	2563425693	1154331565	424433311	262860692	123527174	54596491	1328410	372776	1758978978	1577	601	7417.7	217081	1006932	0.00
S	H	STEC	STECH-SM-24apr22.megahit.nv.contigs	3221109	376608	25053	7617	1528	339	2143612025	891964520	272030521	154446684	65490695	25851506	1230470	232952	1469541446	1312	584	5221.2	238306	958075	0.00
			
S	M	STIU	STIUM-SM-09apr22.megahit.nv.contigs	2063214	292119	26981	9632	2131	586	1627183315	811033094	331825254	213380289	102282518	50218502	897211	444952	1221872748	1673	603	9246.9	133398	674333	0.00
S	M	STIU	STIUM-SM-27jul21.megahit.nv.contigs	2631010	399944	37928	12723	2729	710	2122726023	1118966424	446257121	275181937	128521719	60215236	1114620	530971	1603750951	1889	613	9219.5	162017	824456	0.00
			
L	M	SZYM	SZYMM-LM-02sep20.megahit.nv.contigs	4405856	501062	17213	4633	725	117	2816130410	964892414	168211260	84362756	28411801	8131445	1916542	177045	1926647050	1001	568	2595.9	499494	1554640	0.00
S	M	SZYM	SZYMM-SM-02sep20.megahit.nv.contigs	6251737	616494	39827	11873	2029	387	3769469524	1427118950	416208820	227535340	84639992	29556802	2032273	303504	2386557478	1271	583	4619.3	407739	1589306	0.00
S	M	SZYM	SZYMM-SM-05may22.megahit.nv.contigs	3925020	476798	32527	9213	1473	271	2634792581	1116466867	330168176	172559537	61289254	21085053	1512135	319629	1819387070	1332	588	4630.5	296104	1176084	0.00
			
S	E	TARN	TARNE-SM-12apr22.megahit.nv.contigs	2329486	387796	34891	12237	2940	831	1988905836	1084320439	435393441	281854764	144581126	72736656	1073955	444587	1552808112	1865	619	10417.0	155328	794496	0.00
S	E	TARN	TARNE-SM-28jul21.megahit.nv.contigs	2279365	345120	34265	12663	3297	1085	1884675166	1041249235	467258025	319952121	181242414	105892547	916986	866689	1432898158	2168	635	15833.1	114249	662195	0.00
S	H	TARN	TARNH-SM-12apr22.megahit.nv.contigs	2084657	357124	35798	12883	3082	923	1855388053	1048702309	454579646	298254568	153023498	79424821	965407	424497	1465720772	2060	631	11440.4	127696	704167	0.00
S	H	TARN	TARNH-SM-28jul21.megahit.nv.contigs	2616519	409412	39145	13964	3297	925	2148888563	1172259789	490549806	318964626	161124444	80569648	1091462	806153	1638556852	1996	627	11037.4	150554	798413	0.00
			
S	E	THUN	THUNE-SM-07sep20.megahit.nv.contigs	2998469	359678	28651	9500	1962	448	2037936987	925557884	325742554	195923049	85637531	34405981	1067039	236080	1404763295	1577	598	6537.6	178686	809508	0.00
S	E	THUN	THUNE-SM-10may22.megahit.nv.contigs	2796540	371428	33042	10833	2031	519	2050198624	989754718	374835485	223355370	94688580	43911190	1090278	383313	1477785039	1663	604	7678.5	172379	820878	0.00
L	H	THUN	THUNH-LM-07sep20.megahit.nv.contigs	2725200	372691	38445	16108	5052	1757	2233367898	1201060421	589857533	437395762	270398677	157144997	1082944	573652	1683992836	2214	624	16493.9	118379	780635	0.00
S	H	THUN	THUNH-SM-07sep20.megahit.nv.contigs	2234726	242182	26636	11996	3528	1099	1587245593	793309873	406538450	305375418	177195504	94550112	707089	420833	1109154789	2242	622	15443.1	73234	507823	0.00
S	H	THUN	THUNH-SM-10may22.megahit.nv.contigs	2586918	278374	28735	11280	2613	629	1737136014	821744749	367816482	248035034	118149907	51207322	800293	590941	1176756077	1947	617	10185.7	104655	587840	0.00
			
L	E	TIEF	TIEFE-LM-14jul20.megahit.nv.contigs	3712927	466153	21062	5935	1128	227	2521742532	974536454	216991881	116194768	46291017	16127492	1670605	239650	1794027399	1095	576	3483.9	391977	1335981	0.00
S	E	TIEF	TIEFE-SM-14jul20.megahit.nv.contigs	4092220	491042	34249	10832	1921	366	2703358579	1188358059	367767810	209128713	78299646	26740931	1447215	359705	1839798784	1472	599	5173.9	266879	1110241	0.00
S	E	TIEF	TIEFE-SM-28apr22.megahit.nv.contigs	3763623	398649	28134	8027	1465	357	2382362367	961135933	297837431	162882284	67248002	29889642	1285182	422961	1561927557	1357	587	5743.1	242386	996347	0.00
L	H	TIEF	TIEFH-LM-14jul20.megahit.nv.contigs	4044291	462796	30045	9429	2038	455	2685535627	1092090868	335609016	196573510	87872330	34236581	1556241	297764	1834119617	1268	583	5270.8	306366	1216131	0.00
S	H	TIEF	TIEFH-SM-14jul20.megahit.nv.contigs	3831047	440540	33420	10454	2044	409	2512201198	1095750463	362264900	207307473	83818240	29322254	1313524	300207	1689941256	1503	599	5520.5	232876	1003999	0.00
S	H	TIEF	TIEFH-SM-28apr22.megahit.nv.contigs	3096684	349821	27095	8537	1414	298	2054331342	866962692	291879619	165900354	62138298	24954593	1136433	420116	1398597830	1384	587	5886.0	205702	877755	0.00
			
S	E	TOTR	TOTRE-SM-26aug21.megahit.nv.contigs	4276954	575026	39116	10645	1731	384	3036483183	1355726588	394528131	203261332	74644686	29443812	1788521	271130	2177327312	1375	589	4686.3	345051	1386414	0.00
S	H	TOTR	TOTRH-SM-26aug21.megahit.nv.contigs	4058661	490218	37033	11628	2127	452	2748166390	1218655143	400652611	228730938	89890594	34121236	1480496	284400	1891302332	1489	596	5588.8	263176	1133250	0.00
			
S	E	TOUS	TOUSE-SM-07sep21.megahit.nv.contigs	2203460	268258	24644	8760	2050	632	1552287203	756590955	310683518	202592258	103319173	55080093	756518	585158	1087922999	1859	612	10721.5	107621	559428	0.00
S	E	TOUS	TOUSE-SM-30mar22.megahit.nv.contigs	2664416	334083	28181	9212	1976	601	1884244963	886308230	334409061	205824022	100245502	53477381	992218	424930	1334035337	1617	604	8957.4	157951	748984	0.00
S	H	TOUS	TOUSH-SM-07sep21.megahit.nv.contigs	2433320	275244	25971	9248	2339	742	1661172768	795667335	337279424	223443826	121978522	67515973	776487	503535	1135957330	1931	615	12232.9	105622	571090	0.00
S	H	TOUS	TOUSH-SM-30mar22.megahit.nv.contigs	2449532	297365	24995	8594	2003	640	1690482951	806657935	312685017	201566121	104363050	58278177	838531	559495	1175777520	1744	613	10947.2	127335	625755	0.00
			
L	E	TRAU	TRAUE-LM-17jul20.megahit.nv.contigs	4483978	579383	20496	3581	318	59	2974006598	1126954636	168977356	58018440	13122702	4616028	2001356	226347	2094752139	1079	575	2291.2	502697	1610162	0.00
S	E	TRAU	TRAUE-SM-17jul20.megahit.nv.contigs	5864831	684431	40141	10677	1591	323	3797013790	1528866914	396521085	199058925	68797017	26608788	2247940	470701	2586194202	1243	580	4209.5	471855	1767206	0.00
S	E	TRAU	TRAUE-SM-29apr22.megahit.nv.contigs	846400	103115	4312	1159	244	62	566500744	212287064	45016576	24231029	10883124	4742658	365195	146396	388263891	1103	565	3724.8	85807	292037	0.00
L	H	TRAU	TRAUH-LM-17jul20.megahit.nv.contigs	2822390	408744	32607	11759	3154	874	2227439781	1090990220	417512649	276739545	147723003	70451136	1269019	423103	1677394541	1552	602	8787.1	202404	962750	0.00
S	H	TRAU	TRAUH-SM-17jul20.megahit.nv.contigs	3376949	386557	32336	11092	2658	718	2259598417	1040329745	394903779	251184438	125664400	59463117	1115151	413367	1535881124	1705	608	8761.8	172919	835917	0.00
S	H	TRAU	TRAUH-SM-29apr22.megahit.nv.contigs	2938825	352936	27446	9523	2243	640	2010394088	923453698	335646466	214552755	106639237	52202896	1046587	559012	1393818250	1600	601	8192.0	170441	791772	0.00
			
S	E	TRCH	TRCHE-SM-16sep21.megahit.nv.contigs	2042782	279237	25720	9543	2425	708	1525810248	804843067	335811820	226115083	120092990	62015840	724571	583686	1108877248	2061	630	11754.4	98520	526729	0.00
S	E	TRCH	TRCHE-SM-23mar22.megahit.nv.contigs	2042613	246178	21094	7688	1736	481	1413485962	670786032	264352948	173020251	84821938	42233158	708652	366207	985836977	1718	610	9506.3	107041	529902	0.00
S	H	TRCH	TRCHH-SM-16sep21.megahit.nv.contigs	2729610	363715	37331	13024	2879	771	2034861609	1058725349	452101583	286327994	136728578	64973067	949957	692180	1459482008	2106	633	10381.5	127812	689647	0.00
S	H	TRCH	TRCHH-SM-23mar22.megahit.nv.contigs	1844470	208504	22449	8247	1900	530	1276128500	630169475	282978932	185948028	91850596	45443494	573825	470481	877693197	2160	620	11061.4	72394	415810	0.00
			
L	E	TSKO	TSKOE-LM-02sep20.megahit.nv.contigs	4642224	461264	22702	7443	1507	314	2962014766	985171144	254755359	151921286	64276239	24222501	1987591	448504	2002443890	983	556	4034.7	477458	1607267	0.00
S	E	TSKO	TSKOE-SM-02sep20.megahit.nv.contigs	5178808	518624	38348	12693	2612	610	3209098909	1299091923	439602897	266222363	117528555	50487721	1649820	467841	2063157324	1433	588	6571.1	292359	1268607	0.00
S	E	TSKO	TSKOE-SM-05may22.megahit.nv.contigs	3725127	492459	23571	6142	962	191	2540339879	1038046920	231274933	114506926	40139957	14495689	1630096	475519	1810046954	1174	579	3602.8	369305	1293223	0.00
L	H	TSKO	TSKOH-LM-02sep20.megahit.nv.contigs	3767286	579389	42262	12712	2366	505	2920498200	1414577125	450756091	251085622	100572573	38321351	1722981	287896	2196470845	1467	601	5463.5	314464	1321805	0.00
S	H	TSKO	TSKOH-SM-02sep20.megahit.nv.contigs	5338907	656570	41442	12300	2355	500	3578000929	1529640316	442406584	246236862	100977711	38590441	2029423	386088	2464675513	1350	592	5049.4	398467	1575343	0.00
S	H	TSKO	TSKOH-SM-05may22.megahit.nv.contigs	3520336	451511	25410	6973	1330	316	2388337125	1010094152	264107186	140577168	59383752	25440266	1427368	685412	1674146391	1276	587	4993.5	297387	1117981	0.00
			
S	E	VANN	VANNE-SM-17may22.megahit.nv.contigs	4307181	442863	28912	8998	1719	374	2655714844	1043324904	313976953	179919944	72838171	27691866	1447683	257301	1722317258	1306	583	5033.7	282291	1128131	0.00
S	E	VANN	VANNE-SM-19aug21.megahit.nv.contigs	4944819	596740	33635	9901	1785	390	3261996191	1326310913	354816894	194984855	77309479	30994522	1963042	387350	2253306749	1225	582	4600.2	415550	1544679	0.00
S	H	VANN	VANNH-SM-17may22.megahit.nv.contigs	4638164	474768	33617	10685	2020	434	2866370525	1153898757	367648020	213171884	86735014	32925904	1512670	276867	1855478777	1382	587	5430.7	280416	1169425	0.00
S	H	VANN	VANNH-SM-19aug21.megahit.nv.contigs	4958684	519820	38318	12295	2447	558	3192752189	1278376618	428737106	252787992	108165263	44384046	1780844	343547	2126650690	1307	580	5893.8	330201	1384965	0.00
			
S	E	VATT	VATTE-SM-16may22.megahit.nv.contigs	3756102	427875	30880	9780	1874	394	2432166379	1047626220	337460869	194973890	78981537	29104561	1282471	215951	1628791104	1466	597	5492.5	232636	983659	0.00
S	E	VATT	VATTE-SM-23aug21.megahit.nv.contigs	4039617	517827	44444	13110	2306	499	2845365374	1335726610	467864727	255448010	99593919	38894228	1479281	522335	1990267896	1643	606	6173.7	246458	1116675	0.00
S	H	VATT	VATTH-SM-16may22.megahit.nv.contigs	3405027	377897	32142	10615	2181	464	2229757517	993299913	361915055	216249344	92197509	34482293	1112330	385576	1491215894	1639	602	6528.8	180339	839766	0.00
S	H	VATT	VATTH-SM-23aug21.megahit.nv.contigs	2794782	323965	27350	9206	2130	558	1888846927	863436671	322856103	200143847	96389151	42996303	958304	322396	1292114085	1660	599	7531.4	151532	721664	0.00
			
S	E	VECH	VECHE-SM-02sep21.megahit.nv.contigs	3737385	437924	36482	11705	2174	542	2528572397	1136076829	408885493	240429854	101520781	46998832	1330909	438021	1739860432	1561	596	7316.9	221105	1011342	0.00
S	E	VECH	VECHE-SM-18may22.megahit.nv.contigs	2410798	310135	23712	7811	1623	390	1715234024	788758585	276398309	168848777	78257626	36645835	957985	742036	1227832269	1486	594	8765.1	164494	732365	0.00
S	H	VECH	VECHH-SM-02sep21.megahit.nv.contigs	3396515	426478	36508	11802	2312	547	2381670488	1121894202	410344708	242491577	104327010	44824365	1242252	329520	1675192209	1653	603	7074.8	200570	936496	0.00
S	H	VECH	VECHH-SM-18may22.megahit.nv.contigs	2703941	302720	24669	7799	1543	402	1788232708	777570371	276859824	162670060	71998619	33368038	941998	334218	1210466189	1500	594	6957.0	159734	719288	0.00
			
L	M	VELN	VELNM-LM-28jul20.megahit.nv.contigs	2561807	329093	23804	8670	2140	601	1880718065	839532153	301610120	199176401	101133320	48464458	1113110	401088	1372421175	1358	589	7833.9	195965	859956	0.00
S	M	VELN	VELNM-SM-07apr22.megahit.nv.contigs	1835119	239216	23848	8643	2073	581	1376577952	697830419	300183796	196485365	98572819	48089000	678560	421469	995973440	1964	615	10121.4	91291	498560	0.00
S	M	VELN	VELNM-SM-28jul20.megahit.nv.contigs	1738197	218792	22491	8305	2020	544	1266515578	648828591	283574456	187037518	93445651	43354907	584372	328952	898215217	2133	630	10045.1	76124	423743	0.00
			
S	E	VOLV	VOLVE-SM-13sep21.megahit.nv.contigs	2369176	391434	37034	14007	3428	929	2023710839	1125492156	472307386	315612155	157663589	73096906	1051372	351677	1575268944	2000	623	9763.3	144128	768929	0.00
S	E	VOLV	VOLVE-SM-21mar22.megahit.nv.contigs	1516201	228596	24304	9370	2418	685	1268919965	697912159	320626369	218994465	115220657	56891971	632429	310604	972347743	2152	623	11607.3	77606	457981	0.00
S	H	VOLV	VOLVH-SM-13sep21.megahit.nv.contigs	2042568	308686	34364	13428	3468	948	1730690561	963108391	453652449	310347785	161527978	76115912	849323	351995	1330354162	2261	625	11434.0	100116	611041	0.00
S	H	VOLV	VOLVH-SM-21mar22.megahit.nv.contigs	1589829	233939	24962	10041	2659	720	1318379994	721803068	337850663	235655132	124920122	58727544	650123	301809	1005266001	2168	626	11703.7	77849	470160	0.00
			
S	M	VORT	VORTM-SM-10aug21.megahit.nv.contigs	3309545	423910	35517	12102	2631	633	2367844670	1117713326	417380927	258453594	118403828	51240894	1254548	950159	1682452915	1616	603	8139.3	201777	947526	0.00
S	M	VORT	VORTM-SM-23may22.megahit.nv.contigs	2727638	377885	27555	8735	1976	507	2018314574	945192481	317629989	190337577	91271895	41043261	1166215	405009	1479396261	1464	593	6900.1	205743	894190	0.00
			
S	E	VRNC	VRNCE-SM-19mar22.megahit.nv.contigs	2126530	313343	28943	9056	1642	446	1654929343	847074626	319764019	184726377	77832129	37607048	883712	302665	1234011270	1785	609	7606.1	136552	659697	0.00
S	E	VRNC	VRNCE-SM-28sep21.megahit.nv.contigs	1834503	252838	25367	9261	2352	808	1461838423	756990841	342167663	232069272	129625466	77224933	751298	865606	1094859720	1931	611	14473.9	96000	552785	0.00
S	H	VRNC	VRNCH-SM-19mar22.megahit.nv.contigs	2188225	307318	22039	7231	1609	419	1603555151	771107383	259290879	159292953	76659186	36338570	889356	372903	1166603991	1550	601	7570.4	154112	676170	0.00
S	H	VRNC	VRNCH-SM-28sep21.megahit.nv.contigs	1840188	248025	26313	10206	2711	827	1452303639	765125100	354713748	244510810	132495246	68197153	703915	847501	1074518822	2144	620	12744.1	85104	510513	0.00
			
S	M	VRNZ	VRNZM-SM-15mar22.megahit.nv.contigs	1255659	233577	21657	8544	2532	854	1197773817	704375850	315236877	226276251	136123556	78372047	627495	641653	972835673	2123	628	15377.0	77779	453695	0.00
S	M	VRNZ	VRNZM-SM-23sep21.megahit.nv.contigs	1330514	258681	35149	15807	5000	1560	1497129954	983306313	553925657	420999601	256152658	137735610	654993	462188	1252976229	3621	670	19515.4	52311	437802	0.00
			
S	E	VSVK	VSVKE-SM-16mar22.megahit.nv.contigs	1367865	233709	24379	7812	1775	479	1211498890	683341221	285119682	173107305	84694099	40604428	631533	379907	953660366	2119	623	9663.6	86102	460315	0.00
S	E	VSVK	VSVKE-SM-24sep21.megahit.nv.contigs	2878836	372988	31684	11092	2388	646	2097372473	994644190	383307020	242584582	114521591	55432228	1137551	463534	1512974410	1588	599	8649.8	180170	860553	0.00
S	H	VSVK	VSVKH-SM-24sep21.megahit.nv.contigs	2324916	321324	29937	10816	2641	725	1780034134	913504305	378251875	248385154	127060856	62403281	898791	425296	1306349997	1899	616	10559.6	126184	662953	0.00
			
S	E	WOLF	WOLFE-SM-14jul20.megahit.nv.contigs	3362789	378147	35817	12969	2711	690	2263280575	1055137479	429209928	273526356	120937014	52865359	1081450	387662	1533485340	1813	612	8114.2	157654	803458	0.00
S	E	WOLF	WOLFE-SM-27apr22.megahit.nv.contigs	2938678	362704	25661	7918	1357	280	2019825715	870023660	270469618	151005084	55363466	19880968	1169584	251095	1416187912	1348	586	4864.0	221892	907543	0.00
L	H	WOLF	WOLFH-LM-14jul20.megahit.nv.contigs	2494384	296364	22910	6988	1366	391	1748724120	736475432	251755347	143927159	62865630	29648284	1038285	361391	1237913806	1287	582	5841.4	191941	808354	0.00
S	H	WOLF	WOLFH-SM-14jul20.megahit.nv.contigs	4153234	453011	38670	13498	3485	990	2733435646	1240587480	486346866	315677560	167371004	82433828	1325235	339638	1833615417	1721	607	9347.4	199650	991599	0.00
S	H	WOLF	WOLFH-SM-27apr22.megahit.nv.contigs	3218601	334022	24630	8158	1614	378	2017517898	829311787	277747127	166320007	70491389	28982912	1054601	492092	1316359262	1424	589	6129.3	188857	811519	0.00
			
L	E	ZLUT	ZLUTE-LM-11aug20.megahit.nv.contigs	3267554	420191	28085	8721	1663	400	2351305248	994777688	308680325	177612798	74883075	32642107	1460802	337469	1699868179	1236	581	5405.4	289179	1145059	0.00
L	E	ZLUT	ZLUTE-LM-24nov20.megahit.nv.contigs	3601406	422882	21399	5276	876	192	2367313004	904533227	208075399	100729254	37566393	14788001	1482422	252329	1620425823	1138	574	3589.9	334304	1179487	0.00
L	E	ZLUT	ZLUTE-LM-27apr21.megahit.nv.contigs	5492750	552479	22983	5875	741	144	3399380713	1092270032	217035436	102081633	29526156	10138895	2300154	166393	2262801284	967	558	2601.0	592300	1871743	0.00
L	E	ZLUT	ZLUTE-LM-28apr20.megahit.nv.contigs	3362338	345555	16416	4277	738	144	2111677045	728710818	162555556	81623394	30962092	11107865	1364558	353956	1409805401	1037	562	3375.1	322169	1098287	0.00
S	E	ZLUT	ZLUTE-SM-10aug21.megahit.nv.contigs	3720931	421989	28840	9054	1697	365	2430293507	1009070926	315148999	181098715	73756474	28503979	1367003	322924	1647710547	1336	584	5343.0	260290	1061730	0.00
S	E	ZLUT	ZLUTE-SM-11aug20.megahit.nv.contigs	5657202	730792	61386	20688	4531	1190	4066753965	1929580980	724800405	448951577	212015995	98465127	2158244	621908	2902986676	1614	606	8093.3	346398	1629751	0.00
S	E	ZLUT	ZLUTE-SM-23nov21.megahit.nv.contigs	3462713	423933	26267	7922	1434	268	2332321963	971835643	279337738	155644724	61034296	22260266	1379831	349779	1620522100	1269	584	4933.4	279585	1079486	0.00
S	E	ZLUT	ZLUTE-SM-24nov20.megahit.nv.contigs	4200944	555667	37655	11719	2227	477	2954660095	1321222597	409921678	234625861	95742789	37019890	1699688	300535	2102590602	1381	596	5404.5	323544	1313879	0.00
S	E	ZLUT	ZLUTE-SM-27apr21.megahit.nv.contigs	3902011	532667	31891	9320	1574	350	2759386922	1204195512	332513971	180350591	68266357	27334662	1694948	317486	1994596697	1278	587	4627.3	348547	1326324	0.00
S	E	ZLUT	ZLUTE-SM-28apr20.megahit.nv.contigs	4282110	527040	31843	9757	1814	388	2851538372	1213908733	342190478	193393806	77289326	29440806	1641565	286167	1969808408	1330	588	4870.6	327014	1277495	0.00
L	H	ZLUT	ZLUTH-LM-11aug20.megahit.nv.contigs	3088358	481461	34764	11773	2832	803	2481951188	1217969933	429594359	273691753	141529368	72082355	1472703	744193	1895242402	1467	600	8943.1	254969	1126245	0.00
L	H	ZLUT	ZLUTH-LM-24nov20.megahit.nv.contigs	4553356	517572	28264	8168	1496	334	3027285322	1132959571	295968589	160923168	64209763	25374385	1956367	316213	2099401430	1092	567	4031.4	437801	1562020	0.00
L	H	ZLUT	ZLUTH-LM-28apr20.megahit.nv.contigs	3251023	392066	26307	8685	1663	402	2293569532	931350794	296495845	176899445	75023214	32510227	1459428	343935	1647890996	1177	573	5428.0	292703	1151029	0.00
S	H	ZLUT	ZLUTH-SM-10aug21.megahit.nv.contigs	3209859	421077	24921	7701	1521	353	2258930681	966365295	276519397	160799107	70799290	31797726	1389274	817100	1621987818	1259	583	6015.2	281841	1088413	0.00
S	H	ZLUT	ZLUTH-SM-11aug20.megahit.nv.contigs	3883087	564863	47664	16482	3741	1076	3017512006	1517853675	585724646	373832377	186152193	95960861	1633653	355679	2248040202	1677	611	9458.0	253387	1226294	0.00
S	H	ZLUT	ZLUTH-SM-23nov21.megahit.nv.contigs	3627320	444209	26522	7865	1316	254	2437649543	1000514254	276802940	151300545	56286775	20771384	1476175	657047	1699613317	1230	581	4745.9	307659	1160243	0.00
S	H	ZLUT	ZLUTH-SM-24nov20.megahit.nv.contigs	3991896	508840	36236	11225	2148	526	2766889583	1237615865	396000340	226834616	94295713	39737303	1546091	322859	1945352288	1430	597	5639.3	284559	1189582	0.00
S	H	ZLUT	ZLUTH-SM-27apr21.megahit.nv.contigs	3300368	470909	31066	9784	1877	415	2439342111	1113106047	340657985	197116265	81350801	32339856	1485510	399223	1802164872	1343	589	5443.0	286320	1153186	0.00
S	H	ZLUT	ZLUTH-SM-28apr20.megahit.nv.contigs	3130636	438973	31757	10282	2326	666	2331448109	1096247541	370830576	225966208	109435483	53344174	1348868	308494	1713023420	1462	593	6929.1	237851	1033799	0.00
			
L	E	ZURI	ZURIE-LM-02sep20.megahit.nv.contigs	1390766	155503	5272	1276	229	50	895673094	300426023	52089868	25795326	10823163	4835375	627016	371479	617420166	974	560	3175.6	163899	510237	0.00
S	E	ZURI	ZURIE-SM-02sep20.megahit.nv.contigs	4221697	425536	27739	8528	1630	405	2554500229	1008686740	305898722	176220976	75296837	34659696	1335670	429848	1625755044	1359	588	5997.1	256079	1035212	0.00
S	E	ZURI	ZURIE-SM-04may22.megahit.nv.contigs	1619827	208479	12073	2723	357	62	1121676044	459290111	109968624	47602147	14415426	4649172	698408	144812	787731178	1223	572	3349.5	149034	550814	0.00
L	H	ZURI	ZURIH-LM-02sep20.megahit.nv.contigs	4291441	442541	26882	9035	2151	565	2820806670	1028226676	325156729	204811143	102014395	48153560	1794689	537984	1939456085	1069	569	6213.5	385920	1430709	0.00
S	H	ZURI	ZURIH-SM-02sep20.megahit.nv.contigs	3933980	424948	33579	11546	2439	556	2530411418	1093198678	391988031	242283948	107241685	43747257	1287321	390948	1678618142	1533	598	6963.7	216448	979609	0.00
S	H	ZURI	ZURIH-SM-04may22.megahit.nv.contigs	3650113	385758	28511	9462	1807	346	2322295465	947189931	315119162	185873552	73713237	24963919	1249840	198896	1531560055	1369	586	5318.6	229152	966370	0.00
